Weight,HDon,HAcc,XlogP,TPSA,Polariz,Dipole,LogS,2DACorr_Ident_1,2DACorr_Ident_2,2DACorr_Ident_3,2DACorr_Ident_4,2DACorr_Ident_5,2DACorr_Ident_6,2DACorr_Ident_7,2DACorr_Ident_8,2DACorr_Ident_9,2DACorr_Ident_10,2DACorr_Ident_11,2DACorr_SigChg_1,2DACorr_SigChg_2,2DACorr_SigChg_3,2DACorr_SigChg_4,2DACorr_SigChg_5,2DACorr_SigChg_6,2DACorr_SigChg_7,2DACorr_SigChg_8,2DACorr_SigChg_9,2DACorr_SigChg_10,2DACorr_SigChg_11,2DACorr_PiChg_1,2DACorr_PiChg_2,2DACorr_PiChg_3,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_PiChg_6,2DACorr_PiChg_7,2DACorr_PiChg_8,2DACorr_PiChg_9,2DACorr_PiChg_10,2DACorr_PiChg_11,2DACorr_TotChg_1,2DACorr_TotChg_2,2DACorr_TotChg_3,2DACorr_TotChg_4,2DACorr_TotChg_5,2DACorr_TotChg_6,2DACorr_TotChg_7,2DACorr_TotChg_8,2DACorr_TotChg_9,2DACorr_TotChg_10,2DACorr_TotChg_11,2DACorr_SigEN_1,2DACorr_SigEN_2,2DACorr_SigEN_3,2DACorr_SigEN_4,2DACorr_SigEN_5,2DACorr_SigEN_6,2DACorr_SigEN_7,2DACorr_SigEN_8,2DACorr_SigEN_9,2DACorr_SigEN_10,2DACorr_SigEN_11,2DACorr_PiEN_1,2DACorr_PiEN_2,2DACorr_PiEN_3,2DACorr_PiEN_4,2DACorr_PiEN_5,2DACorr_PiEN_6,2DACorr_PiEN_7,2DACorr_PiEN_8,2DACorr_PiEN_9,2DACorr_PiEN_10,2DACorr_PiEN_11,2DACorr_LpEN_1,2DACorr_LpEN_2,2DACorr_LpEN_3,2DACorr_LpEN_4,2DACorr_LpEN_5,2DACorr_LpEN_6,2DACorr_LpEN_7,2DACorr_LpEN_8,2DACorr_LpEN_9,2DACorr_LpEN_10,2DACorr_LpEN_11,2DACorr_Polariz_1,2DACorr_Polariz_2,2DACorr_Polariz_3,2DACorr_Polariz_4,2DACorr_Polariz_5,2DACorr_Polariz_6,2DACorr_Polariz_7,2DACorr_Polariz_8,2DACorr_Polariz_9,2DACorr_Polariz_10,2DACorr_Polariz_11,CTAB_NAME,Name_of_compounds,@recordNo
266.298,1,5,2.46838,58.12,30.431,1.35045,-3.69645,20,23,31,39,39,35,18,5,0,0,0,0.418103,-0.234923,0.138612,-0.104269,0.196236,0.0655601,0.0879589,-0.000447706,0,0,0,0.16379,-0.0348344,-0.0339481,-0.0231017,-0.00660756,0.0131279,0.00511805,-0.00164902,0,0,0,0.764038,-0.405689,0.245369,-0.442416,0.361213,0.0645706,0.159006,-0.00629347,0,0,0,1759.41,1995.57,2787.34,3509.23,3429.83,2849.85,1367.19,358.315,0,0,0,590.813,636.672,871.468,993.914,836.25,611.427,292.419,92.6745,0,0,0,63.83,0,31.0678,32.5799,30.6214,4.87631,0,0,0,0,0,1813.11,2235.45,3139.97,3819.56,3326.4,2581.96,1120.45,302.137,0,0,0,2101,Nevirapine,@13
211.218,3,6,-1.39406,88.15,20.797,8.06703,-0.379712,15,16,22,20,17,12,9,6,2,1,0,0.6538,-0.39956,0.311965,-0.206058,0.271792,-0.0100213,-0.0431655,0.154793,-0.0685451,0.119197,0,0.383987,-0.0578032,-0.0352548,-0.121178,0.0222429,8.29414e-16,7.78029e-16,-3.57158e-16,-5.85199e-17,1.7988e-17,0,1.27304,-0.776324,0.667308,-0.751849,0.662066,-0.177658,-0.228299,0.470059,-0.122388,0.077861,0,1424.86,1489.7,2035.52,1895.86,1601.48,1083.04,805.327,544.519,168.907,81.7884,0,320.918,308.096,387.946,318.051,137.273,46.3463,58.673,55.826,23.0348,13.0282,0,84.0914,0,47.7353,11.8449,41.7071,20.746,14.4793,9.1332,0,13.0282,0,798.856,920.908,1251.1,1075.57,848.614,597.77,386.73,213.743,66.3759,23.5716,0,2102,Zalcitabine,@14
567.784,4,7,5.94518,101.9,63.997,7.03637,-7.36901,40,43,61,63,61,62,68,71,71,68,66,0.877983,-0.336193,0.0197798,0.458125,-0.10817,0.250883,0.278314,0.21936,0.2814,0.282025,0.066897,0.131254,-0.0235621,-0.0396835,0.00272799,0.00167719,-0.00770694,0.00590796,0.00634221,-0.0354998,0.0227684,0.00449403,1.18747,-0.508221,0.0176759,0.43449,-0.225752,0.329739,0.364039,0.21119,0.101171,0.428307,0.0946206,3146.39,3302.73,4624.98,4953.28,4984.42,4919.15,5225.07,5514.4,5527.64,5267.59,5076.19,702.138,633.214,721.933,593.481,387.698,404.044,428.095,611.556,809.253,792.764,735.006,109.118,0,24.6958,52.2057,23.9608,63.7618,28.9429,28.7784,71.8798,28.9755,0,3232.07,3751.13,5155.36,5377.4,5142.77,5335.05,5672.75,5701.75,5548.25,5288.53,4803.85,2100,"Nelfinavir mesylate",@15
212.227,2,5,0.491465,86.19,20.526,5.77165,-2.03678,14,15,22,17,15,12,7,3,0,0,0,0.382867,-0.141576,0.0316676,-0.0767747,-0.0140406,0.124442,0.0382267,0.0375052,0,0,0,0.317619,-0.206323,0.0543905,-0.0737594,0.134653,-0.0801039,0.0165176,-0.00418478,0,0,0,1.00113,-0.654922,0.283105,-0.256614,0.184045,-0.00139431,0.0846473,0.051451,0,0,0,1594.14,1619.88,2349.34,1720.9,1720.55,1460.79,741.071,313.377,0,0,0,589.185,535.846,555.875,547.605,553.736,395.627,278.63,105.205,0,0,0,257.728,156.229,35.5683,41.8238,110.619,60.6271,0,0,0,0,0,944.383,1084.18,1525.96,1196.13,957.266,694.306,370.892,144.091,0,0,0,1268,Zonisamide,@16
273.351,2,3,0.608352,60.16,30.799,7.13107,-2.29905,19,20,26,26,28,28,24,14,5,0,0,0.319345,-0.0757945,0.0126855,-0.0581003,0.110162,0.0430339,0.119498,0.122617,0.0709423,0,0,0.133316,-0.0452124,-0.00342302,-0.0368724,0.0183486,0.00135493,-0.00064738,7.22092e-05,-0.000278363,0,0,0.653838,-0.214435,0.0358918,-0.288945,0.23943,0.0534655,0.136525,0.13423,0.0816338,0,0,1662.17,1649.79,2124.39,2204.32,2486.61,2351.4,2017.28,1187.09,435.254,0,0,639.083,524.709,595.689,759.265,797.316,871.297,752.152,463.082,163.63,0,0,121.193,31.9497,12.219,64.531,24.6513,0,0,0,0,0,0,1593.21,1827.31,2429.33,2491.74,2366.47,2051,1438.74,692.542,210.907,0,0,686,Modafinil,@17
613.79,4,9,2.9359,118.03,69.464,5.13339,-5.56482,45,49,69,68,69,74,75,76,79,76,73,0.988654,-0.333379,0.0058273,0.422599,0.0206161,0.144274,0.625249,-0.00841982,0.133871,0.699201,0.157002,0.148785,-0.0330287,-0.037993,-0.00377229,0.000314816,0.000356576,0.00787149,-0.0091645,-0.005237,0.00596129,-0.000321905,1.39923,-0.537754,-0.00122718,0.321532,-0.00416938,0.16629,0.730392,-0.0212139,0.0324238,0.776149,0.201934,3538.36,3755.13,5208.22,5317.73,5563.43,5924.15,5798.9,5871.09,6146.73,5860.03,5543.37,874.324,758.194,709.418,532.24,426.185,599.351,601.982,624.032,814.456,844.112,650.007,83.1734,0,25.1565,35.1085,15.2198,33.5735,41.8669,3.01077,23.0167,69.5749,5.58809,3405.62,3969.43,5481.12,5491.57,5392.63,5652.43,5761.1,5766.85,5772.66,5516.19,5205.79,2096,"Indinavir sulphate",@19
315.675,1,3,4.64046,38.33,26.861,3.79196,-5.15523,21,23,33,37,38,38,26,11,4,0,0,0.726367,-0.469079,0.124032,0.184405,-0.49088,0.271446,0.0607907,0.110619,0.0286511,0,0,0.127529,-0.00715902,-0.0578875,-0.0221132,0.0227026,-0.00555161,0.0100754,-0.00383109,2.24677e-18,0,0,0.96665,-0.601647,0.181066,0.138711,-0.559073,0.335654,0.0119568,0.166962,0.0262143,0,0,2238.72,2333,3498.37,3902.58,4156.38,4040.9,2472.15,895.106,279.112,0,0,530.163,405.383,646.52,844.319,882.216,772.963,321.483,42.5358,0,0,0,166.344,0,131.805,78.6099,0,175.587,81.0568,14.8647,0,0,0,1384.31,1686.63,2394.38,2583.36,2285.43,1917.18,1169.5,546.586,189.759,0,0,2097,Efavirenz,@20
152.233,0,1,2.44972,17.07,17.662,2.85658,-2.12754,11,12,17,15,7,4,0,0,0,0,0,0.132018,-0.0151685,-0.0353685,0.0620197,0.0140737,0.0387465,0,0,0,0,0,0.00934004,-0.00467002,-2.75503e-16,2.22157e-16,-2.5369e-17,1.41308e-16,0,0,0,0,0,0.19969,-0.0449646,-0.0528156,0.0674437,0.01417,0.0466333,0,0,0,0,0,799.371,815.917,1145.09,1015.75,529.816,308.482,0,0,0,0,0,124.922,57.64,0,0,0,0,0,0,0,0,0,18.4177,0,0,0,0,0,0,0,0,0,0,665.495,820.602,1087.38,807.325,341.994,140.23,0,0,0,0,0,1311,Thujone,@21
720.946,4,11,3.90197,145.78,78.745,1.27371,-7.03386,50,53,71,69,72,80,85,87,94,93,90,1.23742,-0.79093,0.467976,0.313513,-0.368783,0.733988,0.00954466,0.401123,0.101804,0.318929,0.483541,0.377975,-0.0611201,-0.119615,-0.010307,-0.0318654,0.0717265,-0.00371315,-0.0441708,-0.0147492,0.0598854,-0.02412,2.13823,-1.28905,0.594347,0.224058,-0.835469,1.09069,0.00673187,0.403106,-0.106616,0.533581,0.545176,4309.68,4472.23,5905.63,5768.65,6255.22,7028.94,7210.79,7228.01,7834.72,7863.53,7402.5,1121.83,959.48,943.345,521.212,763.975,1004.13,944.549,1007.36,1330.7,1516.98,1418.94,201.481,0,113.264,79.7225,46.2487,139.857,58.9876,57.7162,49.0901,92.0394,82.7868,3691.9,4186.07,5484.83,5346.86,5528.63,5970.18,6286.1,6494.67,6779.2,6559.4,6183.45,2099,Ritonavir,@22
224.213,2,6,-0.743425,78.87,21.592,6.10475,-0.898645,16,17,24,23,19,15,11,7,3,1,0,0.672727,-0.461831,0.345992,-0.20096,0.259675,-0.0320946,-0.0414929,0.170374,-0.0999283,0.1001,0,0.292707,0.00133265,-0.108123,-0.102736,0.0635882,-0.000558317,0.00061669,-0.000474206,4.82e-17,-3.40935e-16,0,1.21999,-0.595813,0.35115,-0.71725,0.629722,-0.171546,-0.0382627,0.255038,-0.153694,0.20686,0,1613.57,1643.66,2299.52,2287.41,1912.83,1409.69,1049.96,702.792,295.207,127.49,0,395.695,329.757,455.039,471.077,369.315,172.417,144.326,94.5037,20.7019,22.9981,0,99.1046,0,92.6365,12.0879,48.7268,19.1,9.11506,25.2346,0,8.04955,0,885.675,1031.62,1429,1276.75,1003.84,756.443,487.612,248.881,88.8839,20.2402,0,2098,Stavudine,@23
358.843,0,4,3.94133,59.92,39.84,5.43013,-5.67887,24,26,38,38,34,32,29,25,21,18,8,0.300929,-0.117478,-0.0346397,0.048311,0.111344,0.0135053,0.01547,0.00902156,0.0127449,-0.0138159,0.118484,0.340766,-0.226902,0.0708707,-0.0222291,0.0184286,-0.0147121,0.0307014,-0.0888373,0.127943,-0.119309,0.0779367,1.12056,-0.637029,0.055092,-0.0172093,0.239943,-0.0208336,0.0510234,-0.184949,0.229254,-0.301037,0.402075,2255.26,2344.86,3422.12,3262.01,2926.82,2718.85,2521.25,2325.24,2138.04,1908.37,861.954,972.628,1011,1270.84,1323.51,1176.59,1119.77,1016.17,893.267,781.398,573.731,283.492,231.901,89.0487,11.3842,9.33968,2.97525,0,0,32.1213,82.8126,59.0231,11.5853,2420.84,2849.22,4050.24,4133.13,3621.97,3251.67,2736.78,2193.43,1674.74,1190.26,512.584,1789,ETORICOXIB,@24
381.373,2,5,3.83203,77.46,37.698,2.84903,-5.81179,26,28,43,41,38,35,37,34,25,20,17,0.609269,-0.304094,-0.0225334,0.116302,0.15854,-0.219277,0.158884,0.197442,-0.0469581,-0.347337,0.372695,0.461256,-0.270504,0.0339259,-0.0134728,0.0242498,0.138651,-0.225362,0.0314029,0.0542603,-0.00607417,0.00831736,1.39909,-0.978082,0.0832972,0.33466,0.166906,-0.164833,-0.234842,0.423931,0.168772,-0.782398,0.643255,2728.89,2820.77,4358.3,3871.49,3634.14,3282.66,3558.43,3423.45,2613.9,2271.1,2229.23,915.207,891.611,1261.71,1223.56,1089.3,952.132,1018.11,1043.75,738.597,599.451,558.527,317.615,146.56,111.107,28.6186,53.7557,48.8391,61.8944,19.109,0,209.504,153.971,2252.21,2679.26,3886.65,3793.58,3471.76,3055.88,2754.7,2314.12,1711.29,1148.4,775.679,1788,CELECOXIB,@25
370.423,1,6,3.62527,89.27,40.469,4.83022,-5.46954,26,28,40,41,41,37,29,24,23,18,19,0.492272,-0.233672,0.0650117,-0.114943,0.144521,0.12832,0.0693671,-0.230678,0.256738,-0.13507,0.119406,0.432899,-0.205049,0.0381031,-0.152525,0.10633,-0.0316753,0.0512487,-0.0267103,0.0211591,-0.0145544,0.00224287,1.36953,-0.80724,0.334783,-0.56664,0.434493,0.119434,0.283751,-0.578644,0.429509,-0.277214,0.210495,2611.36,2710.37,3913.98,3903.41,3997.57,3272.37,2529.74,2350.73,2586.84,1885.32,1965.19,962.438,1000.82,1293.41,1332.31,1192.72,932.466,801.242,771.438,700.13,600.377,492.917,294.327,179.017,59.2239,42.8986,21.6051,0,0,126.133,106.178,0,28.2807,2291.08,2696.54,3829.26,3831.19,3582.84,3129.13,2489.54,2046.89,1794.64,1346.8,1172.13,1790,PARECOXIB,@26
351.403,2,7,1.95708,99.6,35.311,2.81801,-4.34251,23,25,38,41,39,32,24,22,17,10,4,0.660859,-0.366548,0.170383,-0.12062,-0.0857635,0.331737,-0.0147278,0.136598,-0.00172057,0.0226192,-0.000993011,0.48751,-0.190216,-0.0517372,0.0821556,-0.0668678,-0.00745561,-0.0957767,0.0574768,0.0329153,-0.00310686,-0.00114199,1.64083,-0.993015,0.325609,-0.0559832,-0.575071,0.771471,-0.338053,0.369839,0.0295538,0.0441599,0.00291526,2427.91,2550.65,3931,4282.45,4177.68,3441.36,2382.13,2235.23,1611.86,833.098,279.485,897.786,933.261,1203.09,1338.15,1394.07,1078.6,688.213,657.849,413.608,168.09,60.7369,332.106,154.396,115.14,54.4993,243.273,121.565,123.967,51.1812,0,0,0,2160.18,2605.38,3868.82,3984.38,3404.81,2674.36,2058.44,1816.84,1320.19,712.007,263.672,1786,Meloxicam,@27
255.269,1,4,2.11796,59.3,28.391,2.6874,-3.04757,19,21,30,29,26,21,16,13,8,5,2,0.540985,-0.22559,-0.0684695,-0.00835233,0.282213,0.0593871,-0.18617,0.118495,0.0246325,0.0562746,0.0368433,0.155222,-0.0311521,-0.017736,-0.0267222,-0.0103576,0.011789,-0.0201307,0.0196343,-0.00271049,0.0012624,-0.00148786,0.71431,-0.338238,0.0023214,-0.0310182,0.182101,0.149242,-0.337489,0.271409,0.00461501,0.0664338,0.0332232,1756.63,1841.73,2608.09,2594.84,2418.15,1843.63,1366.55,1215.07,727.635,491.309,197.859,574.544,518.601,636.454,634.939,618.449,486.813,347.259,344.38,246.844,207.541,86.7015,57.8935,0,16.9839,11.5918,27.4662,0,0,28.9707,0,0,0,1499.93,1799.7,2578.77,2317.01,1931.45,1561.64,1155.2,785.856,415.509,200.571,68.6843,1785,Ketorolac,@28
230.259,1,3,2.82934,46.53,26.404,3.32894,-3.00831,17,18,25,26,20,16,12,8,5,4,2,0.452814,-0.211391,0.0541266,0.0508644,0.063093,0.0581808,0.0408244,0.0254457,-0.14141,0.248424,-0.0362532,0.0418168,-0.0123331,-0.00846466,0.000681733,-0.0020151,0.00220452,-0.00674646,0.00853115,0.00129346,-0.00405995,1.43929e-16,0.577545,-0.321317,0.09724,0.0500477,0.062665,0.0600222,0.0228546,0.090482,-0.198442,0.268582,-0.0425945,1472.8,1512.95,2026.44,2047.01,1633.95,1345.91,1046.17,755.275,499.016,405.668,204.154,512.717,478.624,597.3,603.1,503.164,378.702,277.551,201.07,131.431,99.9156,0,53.1391,0,16.9559,0,0,0,0,0,0,35.618,0,1313.57,1531.46,2118.61,2069.86,1479.43,1082.64,706.905,413.986,225.956,132.932,47.3585,1787,Naproxen,@29
661.786,5,9,1.88645,121.65,70.577,3.80813,-5.75053,49,61,99,131,141,129,114,92,85,85,79,1.34163,-0.317392,-0.37647,0.846246,-0.119864,0.0949942,0.713176,0.452533,0.349384,0.208007,0.181186,0.11105,-0.00729359,-0.0488255,0.0148692,-0.0212629,0.00369953,0.00541122,-0.00285462,3.22282e-05,0.000809061,-5.54367e-05,1.14828,-0.259704,-0.288156,0.718898,0.221363,0.0971704,0.352769,0.614129,0.359789,0.0980028,0.203296,3689.02,4582.77,7570.65,9911.59,10713.8,9709.06,8603.34,7036.53,6428.46,6431.52,5872.38,676.333,618.353,831.216,876.775,812.428,809.132,679.886,573.285,375.668,590.637,659.719,113.676,0,0,78.3947,29.5077,37.6343,87.1019,55.0014,26.865,40.1209,27.7615,5623.67,7518.59,12657.7,16011.6,16457.9,14309.5,12248.1,10457.6,9596.91,9230.23,7890.48,1854,nor-BNI,@30
